thanh_pho,quan_huyen,dien_tich_m2,so_phong_ngu,so_phong_tam,so_tang,mat_tien_m,huong_nha,phap_ly,gia_trieu_vnd,gia_trieu_per_m2
Hà Nội,Hà Đông,287.7,4,4,4,10.0,Đông Nam,Sổ đỏ/Sổ hồng,25675.5,89.24
TP.HCM,Quận 9,247.3,3,2,5,3.0,Bắc,Sổ đỏ/Sổ hồng,22848.1,92.39
TP.HCM,Bình Thạnh,207.7,4,4,2,5.0,Tây Nam,Sổ đỏ/Sổ hồng,29519.1,142.12
Hà Nội,Cầu Giấy,50.0,3,2,3,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,6631.0,132.62
TP.HCM,Tân Bình,108.0,2,1,4,8.0,Tây,Sổ đỏ/Sổ hồng,11634.3,107.72
Hà Nội,Đống Đa,205.8,1,1,1,6.0,Tây,Sổ đỏ/Sổ hồng,30662.2,148.99
TP.HCM,Gò Vấp,128.3,5,5,5,6.0,Tây,Hợp đồng mua bán,14549.2,113.4
Hải Phòng,Ngô Quyền,127.9,3,2,4,3.0,Tây,Hợp đồng mua bán,4749.6,37.14
Đà Nẵng,Sơn Trà,315.4,4,3,3,3.0,Đông Nam,Sổ đỏ/Sổ hồng,20234.2,64.15
Hải Phòng,Kiến An,166.0,2,1,3,6.0,Tây,Sổ đỏ/Sổ hồng,5200.0,31.33
Hà Nội,Cầu Giấy,294.3,4,3,5,5.0,Đông,Hợp đồng mua bán,41333.8,140.45
TP.HCM,Gò Vấp,168.2,2,1,4,4.0,Đông Nam,Đang chờ sổ,12265.9,72.92
TP.HCM,Tân Bình,174.4,3,3,5,10.0,Tây,Sổ đỏ/Sổ hồng,19792.9,113.49
Hà Nội,Long Biên,160.6,2,2,3,10.0,Đông,Hợp đồng mua bán,16970.6,105.67
TP.HCM,Tân Bình,286.6,2,2,3,3.0,Tây,Sổ đỏ/Sổ hồng,23114.9,80.65
Đà Nẵng,Liên Chiểu,124.0,3,2,4,5.0,Đông,Sổ đỏ/Sổ hồng,4625.3,37.3
Hà Nội,Ba Đình,28.1,4,4,3,8.0,Đông,Hợp đồng mua bán,5375.0,191.28
Hà Nội,Đống Đa,341.5,3,3,3,10.0,Tây Nam,Hợp đồng mua bán,40038.9,117.24
TP.HCM,Thủ Đức,55.3,3,3,4,6.0,Đông,Sổ đỏ/Sổ hồng,6299.5,113.92
Hải Phòng,Kiến An,87.8,2,2,4,8.0,Tây Nam,Sổ đỏ/Sổ hồng,3785.9,43.12
Hà Nội,Thanh Xuân,261.4,3,3,3,4.0,Đông Nam,Sổ đỏ/Sổ hồng,36636.8,140.16
Đà Nẵng,Ngũ Hành Sơn,202.9,4,4,3,8.0,Tây Bắc,Hợp đồng mua bán,8759.1,43.17
Hà Nội,Cầu Giấy,251.6,2,1,5,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,39512.9,157.05
Hà Nội,Cầu Giấy,158.7,2,2,4,5.0,Đông,Sổ đỏ/Sổ hồng,21682.2,136.62
Hà Nội,Long Biên,264.8,3,2,1,5.0,Tây,Sổ đỏ/Sổ hồng,22136.9,83.6
TP.HCM,Bình Thạnh,342.6,4,3,4,6.0,Đông Nam,Sổ đỏ/Sổ hồng,63997.9,186.8
Đà Nẵng,Sơn Trà,158.6,3,2,3,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,9028.4,56.93
TP.HCM,Thủ Đức,292.6,3,2,3,10.0,Tây,Sổ đỏ/Sổ hồng,28970.2,99.01
TP.HCM,Quận 1,236.9,4,4,2,12.0,Bắc,Sổ đỏ/Sổ hồng,62983.2,265.86
Cần Thơ,Cái Răng,338.2,2,2,3,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,10121.3,29.93
TP.HCM,Bình Thạnh,114.7,4,4,3,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,14622.2,127.48
TP.HCM,Phú Nhuận,236.4,2,2,4,4.0,Nam,Hợp đồng mua bán,36475.3,154.3
TP.HCM,Quận 3,158.7,2,1,1,12.0,Đông,Sổ đỏ/Sổ hồng,28214.0,177.78
TP.HCM,Quận 1,243.7,4,3,2,10.0,Đông,Đang chờ sổ,47696.9,195.72
Hải Phòng,Kiến An,78.9,1,1,1,8.0,Đông Nam,Sổ đỏ/Sổ hồng,2796.8,35.45
Hải Phòng,Kiến An,74.0,4,4,2,8.0,Tây Nam,Hợp đồng mua bán,2759.9,37.3
Đà Nẵng,Hải Châu,297.2,3,2,2,12.0,Đông Nam,Sổ đỏ/Sổ hồng,24121.3,81.16
TP.HCM,Thủ Đức,66.5,3,2,4,12.0,Đông,Hợp đồng mua bán,6851.8,103.03
Hà Nội,Ba Đình,295.2,5,4,2,4.0,Bắc,Sổ đỏ/Sổ hồng,55680.9,188.62
Hà Nội,Ba Đình,29.4,3,2,2,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,7766.0,264.15
Cần Thơ,Cái Răng,317.1,3,3,3,8.0,Tây,Sổ đỏ/Sổ hồng,9189.6,28.98
Hà Nội,Long Biên,181.0,2,1,2,10.0,Đông Bắc,Sổ đỏ/Sổ hồng,19317.0,106.72
Hải Phòng,Lê Chân,314.7,3,3,2,10.0,Đông,Sổ đỏ/Sổ hồng,15590.6,49.54
TP.HCM,Quận 7,143.5,4,4,3,5.0,Bắc,Hợp đồng mua bán,19811.3,138.06
Hải Phòng,Ngô Quyền,348.3,2,2,2,5.0,Đông,Sổ đỏ/Sổ hồng,15203.2,43.65
TP.HCM,Gò Vấp,100.6,2,1,5,12.0,Nam,Sổ đỏ/Sổ hồng,14944.9,148.56
TP.HCM,Bình Thạnh,236.9,4,4,3,10.0,Tây Nam,Sổ đỏ/Sổ hồng,37135.9,156.76
Đà Nẵng,Thanh Khê,186.9,4,3,3,2.0,Tây,Sổ đỏ/Sổ hồng,10910.2,58.37
TP.HCM,Bình Thạnh,262.3,3,3,5,5.0,Đông,Hợp đồng mua bán,36545.9,139.33
Hà Nội,Cầu Giấy,321.2,1,1,5,6.0,Đông,Hợp đồng mua bán,45278.8,140.97
Cần Thơ,Cái Răng,327.5,4,3,3,8.0,Đông,Sổ đỏ/Sổ hồng,8750.5,26.72
TP.HCM,Quận 2,147.8,2,2,1,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,22104.1,149.55
Hà Nội,Đống Đa,155.2,2,1,5,8.0,Tây,Sổ đỏ/Sổ hồng,25314.7,163.11
TP.HCM,Quận 9,45.0,4,3,4,2.0,Tây,Sổ đỏ/Sổ hồng,2990.5,66.46
Hà Nội,Hoàn Kiếm,155.5,3,3,2,5.0,Tây,Sổ đỏ/Sổ hồng,39789.0,255.88
TP.HCM,Bình Thạnh,204.5,3,3,1,12.0,Đông Nam,Sổ đỏ/Sổ hồng,29232.0,142.94
TP.HCM,Quận 2,153.8,3,2,3,4.0,Nam,Sổ đỏ/Sổ hồng,26100.0,169.7
TP.HCM,Quận 9,177.7,3,2,1,4.0,Tây,Sổ đỏ/Sổ hồng,14781.9,83.18
Đà Nẵng,Liên Chiểu,88.4,4,4,4,10.0,Tây,Sổ đỏ/Sổ hồng,4808.8,54.4
Hà Nội,Hai Bà Trưng,177.6,3,2,5,2.0,Tây,Sổ đỏ/Sổ hồng,25351.6,142.75
Cần Thơ,Cái Răng,136.1,4,3,4,2.0,Nam,Sổ đỏ/Sổ hồng,4187.1,30.76
TP.HCM,Phú Nhuận,62.8,2,2,5,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,11135.7,177.32
Hà Nội,Hoàng Mai,168.4,2,1,3,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,16594.8,98.54
TP.HCM,Quận 2,169.8,1,1,5,8.0,Tây Nam,Sổ đỏ/Sổ hồng,25842.5,152.19
TP.HCM,Quận 2,31.8,4,4,3,3.0,Đông Nam,Sổ đỏ/Sổ hồng,4407.2,138.59
TP.HCM,Tân Bình,168.6,2,2,4,6.0,Tây Nam,Sổ đỏ/Sổ hồng,19201.5,113.89
Hải Phòng,Hồng Bàng,182.1,3,3,2,10.0,Bắc,Sổ đỏ/Sổ hồng,7842.0,43.06
TP.HCM,Quận 7,310.4,3,3,2,10.0,Tây Nam,Hợp đồng mua bán,47560.6,153.22
Hải Phòng,Hồng Bàng,234.8,1,1,3,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,15682.1,66.79
Cần Thơ,Bình Thủy,270.9,4,3,3,4.0,Đông Bắc,Hợp đồng mua bán,9249.8,34.14
Hà Nội,Hoàn Kiếm,243.5,2,1,3,4.0,Tây Bắc,Sổ đỏ/Sổ hồng,57728.6,237.08
Hà Nội,Ba Đình,32.2,5,4,5,12.0,Đông Bắc,Hợp đồng mua bán,7247.9,225.09
TP.HCM,Phú Nhuận,56.5,2,2,2,3.0,Tây Nam,Sổ đỏ/Sổ hồng,8117.5,143.67
Đà Nẵng,Liên Chiểu,116.2,3,3,4,10.0,Đông Nam,Hợp đồng mua bán,7059.2,60.75
Đà Nẵng,Hải Châu,230.0,4,3,2,8.0,Nam,Sổ đỏ/Sổ hồng,21521.3,93.57
TP.HCM,Quận 1,295.6,4,4,2,6.0,Tây,Hợp đồng mua bán,73424.1,248.39
TP.HCM,Gò Vấp,155.9,3,2,1,5.0,Tây Bắc,Hợp đồng mua bán,15206.2,97.54
Hà Nội,Long Biên,333.5,4,3,2,2.0,Đông,Sổ đỏ/Sổ hồng,26480.3,79.4
Đà Nẵng,Sơn Trà,161.0,3,3,2,10.0,Đông,Hợp đồng mua bán,8599.1,53.41
Hà Nội,Hoàn Kiếm,47.5,4,4,3,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,10205.6,214.85
TP.HCM,Quận 2,283.8,4,3,2,2.0,Tây Nam,Sổ đỏ/Sổ hồng,45045.8,158.72
Hà Nội,Nam Từ Liêm,84.4,3,3,3,2.0,Đông Nam,Hợp đồng mua bán,6361.5,75.37
TP.HCM,Thủ Đức,66.8,3,3,1,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,5044.9,75.52
TP.HCM,Quận 1,88.8,1,1,2,3.0,Đông,Sổ đỏ/Sổ hồng,24243.8,273.02
Đà Nẵng,Hải Châu,268.7,5,5,2,2.0,Tây,Sổ đỏ/Sổ hồng,19201.0,71.46
TP.HCM,Quận 2,205.4,3,2,1,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,27685.3,134.79
Đà Nẵng,Hải Châu,94.5,3,2,3,10.0,Tây Nam,Sổ đỏ/Sổ hồng,9189.4,97.24
Hà Nội,Hoàng Mai,328.1,1,1,3,6.0,Tây Nam,Hợp đồng mua bán,29739.9,90.64
Hải Phòng,Hồng Bàng,327.8,5,4,2,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,12888.8,39.32
Hà Nội,Thanh Xuân,25.3,5,4,4,12.0,Đông Nam,Hợp đồng mua bán,3030.2,119.77
Đà Nẵng,Ngũ Hành Sơn,191.5,4,3,2,12.0,Tây Bắc,Sổ đỏ/Sổ hồng,14604.4,76.26
Hà Nội,Cầu Giấy,313.0,2,2,5,5.0,Tây Nam,Sổ đỏ/Sổ hồng,57639.5,184.15
Đà Nẵng,Ngũ Hành Sơn,92.2,3,2,2,4.0,Đông Bắc,Sổ đỏ/Sổ hồng,5488.0,59.52
TP.HCM,Quận 7,195.1,5,4,5,5.0,Tây Nam,Hợp đồng mua bán,30573.9,156.71
Đà Nẵng,Hải Châu,238.8,3,2,2,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,12526.5,52.46
Hà Nội,Đống Đa,182.8,3,3,4,4.0,Tây,Hợp đồng mua bán,18502.6,101.22
TP.HCM,Tân Bình,302.3,3,3,3,12.0,Nam,Sổ đỏ/Sổ hồng,36607.2,121.1
Hà Nội,Cầu Giấy,82.6,1,1,5,6.0,Đông Bắc,Hợp đồng mua bán,14161.5,171.45
Đà Nẵng,Ngũ Hành Sơn,119.1,4,4,2,2.0,Đông Nam,Hợp đồng mua bán,6631.9,55.68
Hà Nội,Cầu Giấy,79.9,2,2,5,12.0,Đông Bắc,Sổ đỏ/Sổ hồng,13863.2,173.51
Đà Nẵng,Thanh Khê,203.4,2,1,3,4.0,Tây Nam,Sổ đỏ/Sổ hồng,12275.9,60.35
Cần Thơ,Cái Răng,255.6,2,1,3,12.0,Đông Nam,Đang chờ sổ,6630.9,25.94
Hà Nội,Đống Đa,61.6,3,2,2,10.0,Đông Bắc,Sổ đỏ/Sổ hồng,10934.3,177.51
Hà Nội,Cầu Giấy,229.6,4,3,4,12.0,Đông Nam,Sổ đỏ/Sổ hồng,38356.4,167.06
TP.HCM,Quận 1,43.3,3,2,2,3.0,Tây,Sổ đỏ/Sổ hồng,12414.3,286.7
TP.HCM,Quận 2,70.0,5,4,3,6.0,Đông Bắc,Hợp đồng mua bán,9625.9,137.51
TP.HCM,Phú Nhuận,290.7,4,3,3,2.0,Nam,Sổ đỏ/Sổ hồng,44822.0,154.19
Đà Nẵng,Liên Chiểu,239.8,4,4,5,6.0,Đông Nam,Đang chờ sổ,9699.7,40.45
Hà Nội,Hà Đông,180.6,4,3,1,5.0,Đông Bắc,Hợp đồng mua bán,14421.4,79.85
Hà Nội,Hai Bà Trưng,263.2,4,4,5,2.0,Đông,Sổ đỏ/Sổ hồng,34995.4,132.96
Hà Nội,Ba Đình,258.6,2,1,5,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,69598.6,269.14
Hà Nội,Ba Đình,152.3,4,4,4,4.0,Tây Nam,Hợp đồng mua bán,35007.3,229.86
Đà Nẵng,Sơn Trà,35.3,3,2,5,12.0,Tây,Đang chờ sổ,2429.4,68.82
Hà Nội,Ba Đình,313.1,3,2,1,6.0,Tây,Sổ đỏ/Sổ hồng,48913.4,156.22
TP.HCM,Quận 7,64.6,1,1,4,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,8542.1,132.23
Hà Nội,Long Biên,85.8,3,3,2,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,10452.4,121.82
Đà Nẵng,Sơn Trà,132.3,2,2,2,3.0,Tây Nam,Đang chờ sổ,5766.2,43.58
TP.HCM,Thủ Đức,64.8,3,3,2,3.0,Nam,Hợp đồng mua bán,4318.7,66.65
Hải Phòng,Ngô Quyền,50.3,5,5,4,12.0,Bắc,Sổ đỏ/Sổ hồng,2817.9,56.02
Hà Nội,Ba Đình,296.8,3,3,4,10.0,Tây Nam,Sổ đỏ/Sổ hồng,69195.5,233.14
Hà Nội,Đống Đa,270.2,3,2,3,3.0,Tây,Sổ đỏ/Sổ hồng,34648.6,128.23
Đà Nẵng,Hải Châu,234.8,2,2,3,4.0,Tây,Sổ đỏ/Sổ hồng,14014.2,59.69
Cần Thơ,Ninh Kiều,335.6,5,4,4,5.0,Đông Nam,Hợp đồng mua bán,13015.8,38.78
Đà Nẵng,Thanh Khê,273.1,2,2,3,12.0,Đông Bắc,Sổ đỏ/Sổ hồng,19585.6,71.72
TP.HCM,Quận 3,171.3,3,3,4,12.0,Tây Nam,Hợp đồng mua bán,30702.1,179.23
Hà Nội,Đống Đa,231.6,3,3,4,8.0,Bắc,Sổ đỏ/Sổ hồng,32373.8,139.78
TP.HCM,Quận 7,102.2,3,2,5,12.0,Đông,Sổ đỏ/Sổ hồng,20208.0,197.73
Đà Nẵng,Sơn Trà,285.3,2,1,3,6.0,Tây Nam,Sổ đỏ/Sổ hồng,18196.7,63.78
Hà Nội,Hoàng Mai,127.7,2,2,3,6.0,Đông Bắc,Sổ đỏ/Sổ hồng,11816.8,92.54
Hà Nội,Ba Đình,54.2,5,4,3,5.0,Đông Bắc,Hợp đồng mua bán,9829.7,181.36
Hà Nội,Hoàn Kiếm,338.9,2,2,2,3.0,Tây Nam,Sổ đỏ/Sổ hồng,67268.0,198.49
Hải Phòng,Ngô Quyền,79.0,5,4,2,8.0,Đông,Sổ đỏ/Sổ hồng,2967.1,37.56
TP.HCM,Thủ Đức,219.2,4,4,2,4.0,Tây Nam,Sổ đỏ/Sổ hồng,22554.3,102.89
Hà Nội,Hoàng Mai,162.7,3,2,3,12.0,Đông Nam,Sổ đỏ/Sổ hồng,21962.0,134.98
TP.HCM,Quận 1,165.0,3,3,3,10.0,Tây,Sổ đỏ/Sổ hồng,56064.9,339.79
Hải Phòng,Lê Chân,135.2,3,2,4,8.0,Đông,Sổ đỏ/Sổ hồng,6135.9,45.38
TP.HCM,Quận 9,214.6,3,2,3,12.0,Tây Nam,Hợp đồng mua bán,19099.6,89.0
Hà Nội,Long Biên,182.5,1,1,2,5.0,Bắc,Hợp đồng mua bán,18095.8,99.16
TP.HCM,Quận 1,316.8,3,3,3,8.0,Tây,Hợp đồng mua bán,80619.4,254.48
TP.HCM,Thủ Đức,37.8,5,5,2,2.0,Đông Bắc,Sổ đỏ/Sổ hồng,3507.1,92.78
Hải Phòng,Ngô Quyền,220.1,4,3,4,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,12898.5,58.6
TP.HCM,Bình Thạnh,63.8,3,3,3,6.0,Nam,Sổ đỏ/Sổ hồng,9701.8,152.07
TP.HCM,Bình Thạnh,307.6,2,1,3,6.0,Nam,Sổ đỏ/Sổ hồng,52243.5,169.84
Đà Nẵng,Liên Chiểu,199.0,3,3,2,3.0,Đông Nam,Hợp đồng mua bán,9082.2,45.64
Đà Nẵng,Thanh Khê,241.8,3,2,2,3.0,Bắc,Sổ đỏ/Sổ hồng,9961.7,41.2
TP.HCM,Quận 9,261.0,2,1,4,2.0,Bắc,Sổ đỏ/Sổ hồng,18202.6,69.74
Đà Nẵng,Liên Chiểu,225.6,5,5,2,5.0,Đông,Hợp đồng mua bán,7378.5,32.71
Hà Nội,Nam Từ Liêm,220.8,3,2,2,5.0,Đông Nam,Hợp đồng mua bán,24886.5,112.71
Hà Nội,Đống Đa,52.6,3,2,4,3.0,Đông Nam,Hợp đồng mua bán,5979.7,113.68
Hà Nội,Đống Đa,324.9,3,3,4,8.0,Đông Bắc,Hợp đồng mua bán,41436.9,127.54
Hải Phòng,Ngô Quyền,28.9,3,2,1,4.0,Tây,Hợp đồng mua bán,942.1,32.6
Hà Nội,Nam Từ Liêm,101.9,3,3,4,5.0,Đông,Sổ đỏ/Sổ hồng,12938.2,126.97
Hà Nội,Hoàng Mai,189.1,4,3,5,2.0,Nam,Hợp đồng mua bán,15443.9,81.67
TP.HCM,Tân Bình,63.3,1,1,5,3.0,Tây,Sổ đỏ/Sổ hồng,6611.5,104.45
TP.HCM,Quận 7,212.7,3,2,3,12.0,Đông Nam,Hợp đồng mua bán,30000.4,141.05
TP.HCM,Quận 1,339.0,5,4,3,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,107394.3,316.8
TP.HCM,Quận 7,90.5,3,2,2,12.0,Tây,Sổ đỏ/Sổ hồng,13593.9,150.21
Hải Phòng,Hồng Bàng,78.5,2,2,2,3.0,Tây Bắc,Sổ đỏ/Sổ hồng,3463.0,44.11
Hà Nội,Hoàn Kiếm,147.5,3,2,1,10.0,Tây,Hợp đồng mua bán,31725.3,215.09
Hà Nội,Nam Từ Liêm,157.1,4,4,2,5.0,Đông Nam,Sổ đỏ/Sổ hồng,16254.6,103.47
Đà Nẵng,Ngũ Hành Sơn,244.8,3,2,2,8.0,Đông,Sổ đỏ/Sổ hồng,16425.6,67.1
Hải Phòng,Lê Chân,131.0,3,3,3,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,7134.6,54.46
Hà Nội,Đống Đa,297.5,4,3,1,5.0,Tây,Hợp đồng mua bán,38161.8,128.28
Hà Nội,Thanh Xuân,321.8,3,2,2,3.0,Đông Bắc,Sổ đỏ/Sổ hồng,33118.6,102.92
TP.HCM,Quận 9,143.1,5,4,3,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,15324.3,107.09
Cần Thơ,Cái Răng,284.3,4,4,3,8.0,Nam,Sổ đỏ/Sổ hồng,12037.4,42.34
Hải Phòng,Kiến An,258.2,5,4,2,6.0,Nam,Sổ đỏ/Sổ hồng,11276.4,43.67
Đà Nẵng,Hải Châu,131.0,4,3,3,10.0,Đông Nam,Sổ đỏ/Sổ hồng,10973.4,83.77
Hải Phòng,Kiến An,122.5,3,3,3,2.0,Tây Bắc,Đang chờ sổ,3492.9,28.51
TP.HCM,Gò Vấp,74.3,3,2,4,5.0,Đông,Sổ đỏ/Sổ hồng,8274.5,111.37
Hà Nội,Ba Đình,249.8,4,4,3,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,59323.6,237.48
Hải Phòng,Hồng Bàng,258.1,3,3,4,4.0,Bắc,Đang chờ sổ,9572.9,37.09
TP.HCM,Quận 7,251.6,2,2,5,5.0,Đông,Sổ đỏ/Sổ hồng,30261.2,120.27
Đà Nẵng,Ngũ Hành Sơn,91.3,4,4,1,10.0,Bắc,Sổ đỏ/Sổ hồng,5424.5,59.41
TP.HCM,Phú Nhuận,303.8,3,2,2,5.0,Bắc,Hợp đồng mua bán,52683.0,173.41
Hà Nội,Nam Từ Liêm,79.0,3,2,4,10.0,Tây,Sổ đỏ/Sổ hồng,8582.5,108.64
Hà Nội,Hoàng Mai,174.6,4,3,4,6.0,Tây Bắc,Sổ đỏ/Sổ hồng,18773.2,107.52
TP.HCM,Phú Nhuận,50.7,1,1,2,10.0,Bắc,Sổ đỏ/Sổ hồng,8985.0,177.22
Hà Nội,Đống Đa,207.6,2,1,4,6.0,Nam,Sổ đỏ/Sổ hồng,34026.5,163.9
TP.HCM,Gò Vấp,320.4,4,4,3,10.0,Tây Bắc,Đang chờ sổ,28388.9,88.6
TP.HCM,Gò Vấp,314.4,3,3,3,8.0,Đông,Sổ đỏ/Sổ hồng,33462.7,106.43
Cần Thơ,Cái Răng,291.7,3,2,2,10.0,Đông Nam,Sổ đỏ/Sổ hồng,9261.9,31.75
Hà Nội,Hoàn Kiếm,123.5,5,5,3,6.0,Đông Nam,Sổ đỏ/Sổ hồng,41758.7,338.13
TP.HCM,Quận 7,333.2,2,2,3,4.0,Bắc,Hợp đồng mua bán,31920.3,95.8
TP.HCM,Bình Thạnh,268.3,2,1,2,4.0,Tây Nam,Sổ đỏ/Sổ hồng,31826.3,118.62
Hà Nội,Hai Bà Trưng,67.0,2,1,3,2.0,Bắc,Sổ đỏ/Sổ hồng,8956.7,133.68
TP.HCM,Quận 2,242.1,2,1,4,4.0,Tây Nam,Sổ đỏ/Sổ hồng,34393.5,142.06
TP.HCM,Thủ Đức,134.1,3,3,2,5.0,Bắc,Sổ đỏ/Sổ hồng,10677.3,79.62
TP.HCM,Tân Bình,191.1,3,2,1,5.0,Tây,Hợp đồng mua bán,19440.6,101.73
Hà Nội,Hà Đông,214.5,4,4,3,5.0,Đông Bắc,Sổ đỏ/Sổ hồng,19674.9,91.72
Đà Nẵng,Sơn Trà,336.4,2,1,3,10.0,Bắc,Sổ đỏ/Sổ hồng,28625.4,85.09
Hà Nội,Hai Bà Trưng,111.7,2,2,1,5.0,Tây Nam,Sổ đỏ/Sổ hồng,12853.3,115.07
Hà Nội,Hoàng Mai,129.2,2,1,4,10.0,Tây,Hợp đồng mua bán,11239.6,86.99
TP.HCM,Quận 1,103.5,4,4,4,4.0,Tây Nam,Sổ đỏ/Sổ hồng,23157.5,223.74
TP.HCM,Quận 9,115.4,3,3,1,3.0,Đông Nam,Sổ đỏ/Sổ hồng,8291.6,71.85
Hà Nội,Hoàng Mai,63.7,2,2,2,10.0,Đông Nam,Sổ đỏ/Sổ hồng,5600.0,87.91
Hà Nội,Ba Đình,113.1,4,3,4,4.0,Đông Nam,Sổ đỏ/Sổ hồng,26530.3,234.57
Cần Thơ,Cái Răng,161.0,3,3,1,8.0,Nam,Sổ đỏ/Sổ hồng,5273.6,32.76
Đà Nẵng,Ngũ Hành Sơn,267.6,1,1,3,12.0,Đông,Sổ đỏ/Sổ hồng,20388.7,76.19
Hà Nội,Đống Đa,98.4,2,2,4,10.0,Nam,Hợp đồng mua bán,14279.6,145.12
TP.HCM,Thủ Đức,320.7,4,4,2,6.0,Đông Nam,Sổ đỏ/Sổ hồng,38724.6,120.75
Hà Nội,Hà Đông,165.1,3,3,3,6.0,Tây,Sổ đỏ/Sổ hồng,16664.4,100.94
TP.HCM,Quận 9,257.2,3,3,2,10.0,Đông Nam,Sổ đỏ/Sổ hồng,22260.9,86.55
TP.HCM,Quận 2,42.1,3,2,2,2.0,Đông Nam,Hợp đồng mua bán,5976.1,141.95
Hà Nội,Hai Bà Trưng,123.1,4,3,2,5.0,Đông,Hợp đồng mua bán,14329.0,116.4
TP.HCM,Gò Vấp,287.2,3,2,3,6.0,Đông Nam,Sổ đỏ/Sổ hồng,30440.7,105.99
TP.HCM,Quận 9,165.4,5,5,2,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,16877.1,102.04
TP.HCM,Quận 2,111.8,5,4,4,6.0,Bắc,Sổ đỏ/Sổ hồng,14539.3,130.05
Hà Nội,Hoàng Mai,108.7,2,2,2,6.0,Tây Nam,Hợp đồng mua bán,10082.8,92.76
TP.HCM,Quận 7,264.2,3,3,2,10.0,Bắc,Sổ đỏ/Sổ hồng,45412.6,171.89
TP.HCM,Quận 1,349.4,2,2,4,10.0,Đông Bắc,Đang chờ sổ,74245.1,212.49
Đà Nẵng,Thanh Khê,310.8,3,3,3,10.0,Đông,Đang chờ sổ,14876.7,47.87
Hà Nội,Cầu Giấy,56.5,2,2,3,6.0,Đông,Sổ đỏ/Sổ hồng,9100.5,161.07
Hải Phòng,Ngô Quyền,114.4,3,3,1,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,4972.1,43.46
TP.HCM,Phú Nhuận,240.2,4,3,1,6.0,Đông Bắc,Hợp đồng mua bán,28018.8,116.65
Hà Nội,Cầu Giấy,307.7,4,3,5,4.0,Đông Nam,Hợp đồng mua bán,54938.0,178.54
TP.HCM,Gò Vấp,297.6,4,3,3,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,29281.5,98.39
TP.HCM,Phú Nhuận,272.0,1,1,3,3.0,Đông,Sổ đỏ/Sổ hồng,45413.0,166.96
TP.HCM,Quận 9,214.3,2,1,2,6.0,Đông Bắc,Đang chờ sổ,13670.1,63.79
Hà Nội,Hai Bà Trưng,40.9,3,2,5,2.0,Đông,Sổ đỏ/Sổ hồng,6586.1,161.03
Cần Thơ,Ninh Kiều,263.9,3,2,4,6.0,Đông Nam,Hợp đồng mua bán,13669.0,51.8
Hà Nội,Hoàng Mai,67.2,4,4,3,10.0,Tây,Sổ đỏ/Sổ hồng,5905.8,87.88
Hà Nội,Hai Bà Trưng,213.1,3,2,1,3.0,Tây Nam,Hợp đồng mua bán,23609.3,110.79
TP.HCM,Thủ Đức,118.0,3,3,3,6.0,Bắc,Đang chờ sổ,7937.8,67.27
Đà Nẵng,Sơn Trà,95.8,3,3,5,2.0,Tây Bắc,Sổ đỏ/Sổ hồng,6535.7,68.22
TP.HCM,Thủ Đức,72.6,3,2,4,10.0,Đông,Sổ đỏ/Sổ hồng,9111.8,125.51
TP.HCM,Bình Thạnh,170.6,3,2,1,3.0,Tây Nam,Đang chờ sổ,12737.7,74.66
Đà Nẵng,Sơn Trà,109.2,4,4,2,10.0,Tây,Đang chờ sổ,4960.3,45.42
Cần Thơ,Bình Thủy,247.3,2,2,2,12.0,Nam,Sổ đỏ/Sổ hồng,8361.0,33.81
Hà Nội,Nam Từ Liêm,192.3,3,3,2,8.0,Tây Bắc,Sổ đỏ/Sổ hồng,17390.0,90.43
Hà Nội,Đống Đa,53.2,2,1,3,2.0,Tây,Sổ đỏ/Sổ hồng,7154.6,134.48
TP.HCM,Tân Bình,30.7,2,1,3,12.0,Bắc,Sổ đỏ/Sổ hồng,4651.8,151.53
Cần Thơ,Ninh Kiều,84.6,1,1,5,4.0,Tây,Hợp đồng mua bán,3057.0,36.14
